,grupo,nivel,comp_destino,comp_especif,sueldo,fmr,c4%,total,media_compl_especif,salario_total
104,A1,28.0,13537.44,30257.78,17049.72,694.96,0.0,61539.9,38217.38666666667,68804.54666666668
105,A1,28.0,13537.44,30670.079999999998,17049.72,694.96,0.0,61952.200000000004,38217.38666666667,68804.54666666668
106,A1,28.0,13537.44,32769.66,17049.72,694.96,0.0,64051.780000000006,38217.38666666667,68804.54666666668
107,A1,28.0,13537.44,33514.6,17049.72,694.96,0.0,64796.72,38217.38666666667,68804.54666666668
108,A1,28.0,13537.44,33666.78,17049.72,694.96,0.0,64948.9,38217.38666666667,68804.54666666668
109,A1,28.0,13537.44,33749.1,17049.72,694.96,0.0,65031.22,38217.38666666667,68804.54666666668
110,A1,28.0,13537.44,34139.84,17049.72,694.96,0.0,65421.96,38217.38666666667,68804.54666666668
111,A1,28.0,13537.44,34408.22,17049.72,694.96,0.0,65690.34000000001,38217.38666666667,68804.54666666668
112,A1,28.0,13537.44,36834.0,17049.72,694.96,0.0,68116.12000000001,38217.38666666667,68804.54666666668
113,A1,28.0,13537.44,37367.96,17049.72,694.96,0.0,68650.08,38217.38666666667,68804.54666666668
114,A1,28.0,13537.44,40859.56,17049.72,694.96,0.0,72141.68000000001,38217.38666666667,68804.54666666668
115,A1,28.0,13537.44,42379.26,17049.72,694.96,0.0,73661.38000000002,38217.38666666667,68804.54666666668
116,A1,28.0,13537.44,46191.880000000005,17049.72,694.96,0.0,77474.00000000001,38217.38666666667,68804.54666666668
117,A1,28.0,13537.44,65207.799999999996,17049.72,694.96,0.0,96489.92,38217.38666666667,68804.54666666668
118,A1,28.0,13537.44,68271.42,17049.72,694.96,0.0,99553.54000000001,38217.38666666667,68804.54666666668
119,A1,29.0,14131.32,39566.380000000005,17049.72,694.96,0.0,71442.38000000002,54396.456470588244,85577.49647058824
120,A1,29.0,14131.32,43057.700000000004,17049.72,694.96,0.0,74933.70000000001,54396.456470588244,85577.49647058824
121,A1,29.0,14131.32,43057.84,17049.72,694.96,0.0,74933.84000000001,54396.456470588244,85577.49647058824
122,A1,29.0,14131.32,50168.16,17049.72,694.96,0.0,82044.16000000002,54396.456470588244,85577.49647058824
123,A1,29.0,14131.32,51602.46,17049.72,694.96,0.0,83478.46,54396.456470588244,85577.49647058824
124,A1,29.0,14131.32,70918.96,17049.72,694.96,0.0,102794.96,54396.456470588244,85577.49647058824
125,A1,29.0,14131.32,42441.700000000004,17049.72,694.96,0.0,75941.28000000001,54396.456470588244,85577.49647058824
126,A1,29.0,14131.32,44556.82,17049.72,694.96,0.0,78056.40000000001,54396.456470588244,85577.49647058824
127,A1,29.0,14131.32,48408.079999999994,17049.72,694.96,0.0,81907.65999999999,54396.456470588244,85577.49647058824
128,A1,29.0,14131.32,49023.52,17049.72,694.96,0.0,82523.09999999999,54396.456470588244,85577.49647058824
129,A1,29.0,14131.32,52762.36,17049.72,694.96,0.0,86261.94,54396.456470588244,85577.49647058824
130,A1,29.0,14131.32,60678.659999999996,17049.72,694.96,0.0,94178.24,54396.456470588244,85577.49647058824
131,A1,29.0,14131.32,60678.799999999996,17049.72,694.96,0.0,94178.37999999999,54396.456470588244,85577.49647058824
132,A1,29.0,14131.32,60678.94,17049.72,694.96,0.0,94178.52,54396.456470588244,85577.49647058824
133,A1,29.0,14131.32,65126.74,17049.72,694.96,0.0,98626.31999999999,54396.456470588244,85577.49647058824
134,A1,29.0,14131.32,69824.02,17049.72,694.96,0.0,103323.6,54396.456470588244,85577.49647058824
135,A1,29.0,14131.32,72188.62,17049.72,694.96,0.0,105688.2,54396.456470588244,85577.49647058824
136,A2,18.0,6420.96,14721.0,14992.66,694.96,0.0,36829.579999999994,15810.62,37224.24
137,A2,18.0,6420.96,16900.24,14992.66,694.96,0.0,39008.82,15810.62,37224.24
138,A2,20.0,7151.06,14393.539999999999,14992.66,694.96,0.0,37232.22,17941.396666666664,40085.11666666667
139,A2,20.0,7151.06,14753.34,14992.66,694.96,0.0,37592.02,17941.396666666664,40085.11666666667
140,A2,20.0,7151.06,17265.22,14992.66,694.96,0.0,40103.9,17941.396666666664,40085.11666666667
141,A2,20.0,7151.06,18056.36,14992.66,694.96,0.0,40895.04,17941.396666666664,40085.11666666667
142,A2,20.0,7151.06,18938.78,14992.66,694.96,0.0,41777.46,17941.396666666664,40085.11666666667
